EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 0.49999872,,,
Number of sample: 86400/86400,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/03/08 00:05:02,,,
,,,
"V1: 0.500000, 1.250000",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
406,2.524219,0.698407,2.670294
407,2.520371,0.698407,2.673162
408,2.524424,0.698407,2.671728
409,2.524338,0.699841,2.671728
410,2.520368,0.698407,2.674597
411,2.524301,0.696973,2.671728
412,2.524094,0.698407,2.673162
413,2.520357,0.699841,2.671728
414,2.524064,0.696973,2.674597
415,2.524273,0.699841,2.673162
416,2.520611,0.696973,2.674597
417,2.524538,0.698407,2.671728
418,2.524282,0.698407,2.671728
419,2.520528,0.699841,2.673162
420,2.524337,0.701275,2.673162
421,2.524307,0.698407,2.671728
422,2.52066,0.698407,2.674597
423,2.524442,0.701275,2.673162
424,2.524269,0.699841,2.673162
425,2.520628,0.698407,2.671728
426,2.524637,0.699841,2.671728
427,2.524662,0.698407,2.673162
428,2.520949,0.699841,2.673162
429,2.524782,0.702709,2.671728
430,2.524314,0.695538,2.671728
431,2.520767,0.699841,2.671728
432,2.524631,0.698407,2.671728
433,2.52474,0.702709,2.673162
434,2.520926,0.701275,2.674597
435,2.52494,0.699841,2.673162
436,2.524847,0.698407,2.676031
437,2.520813,0.702709,2.673162
438,2.524508,0.698407,2.673162
439,2.524421,0.699841,2.673162
440,2.520801,0.701275,2.671728
441,2.524575,0.699841,2.673162
442,2.524499,0.701275,2.673162
443,2.52076,0.699841,2.673162
444,2.524657,0.701275,2.673162
445,2.524556,0.698407,2.673162
446,2.520761,0.699841,2.671728
447,2.524295,0.696973,2.673162
448,2.524688,0.701275,2.673162
449,2.520773,0.696973,2.676031
450,2.524338,0.698407,2.673162
451,2.524041,0.698407,2.671728
452,2.520546,0.698407,2.674597
453,2.524325,0.701275,2.671728
454,2.524192,0.699841,2.673162
455,2.520676,0.698407,2.673162
456,2.524709,0.698407,2.673162
457,2.524607,0.699841,2.671728
458,2.521068,0.699841,2.671728
459,2.524836,0.698407,2.673162
460,2.524784,0.699841,2.671728
461,2.52077,0.701275,2.676031
462,2.524219,0.696973,2.673162
463,2.523874,0.698407,2.673162
464,2.519997,0.699841,2.671728
465,2.524044,0.699841,2.671728
466,2.523796,0.698407,2.673162
467,2.5201,0.698407,2.671728
468,2.523737,0.695538,2.673162
469,2.524066,0.698407,2.674597
470,2.520761,0.695538,2.673162
471,2.524265,0.701275,2.671728
472,2.523969,0.698407,2.671728
473,2.520217,0.701275,2.671728
474,2.524228,0.699841,2.673162
475,2.524024,0.698407,2.673162
476,2.520334,0.699841,2.673162
477,2.523992,0.696973,2.673162
478,2.524318,0.698407,2.671728
479,2.520495,0.696973,2.671728
480,2.523968,0.698407,2.671728
481,2.524249,0.701275,2.674597
482,2.520684,0.698407,2.671728
483,2.524064,0.695538,2.670294
484,2.524492,0.696973,2.671728
485,2.520799,0.699841,2.671728
486,2.524083,0.698407,2.674597
487,2.524122,0.695538,2.673162
488,2.520874,0.698407,2.670294
