EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 5.00000763,,,
Number of sample: 120960/120960,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/03/15 10:27:09,,,
,,,
"V1: 1.000000, 1.625000",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
471,3.017017,2.541225,3.04316
472,3.016897,2.538357,3.04316
473,3.016607,2.539791,3.04316
474,3.016095,2.538357,3.041726
475,3.015873,2.539791,3.040292
476,3.015823,2.536923,3.040292
477,3.016001,2.536923,3.041726
478,3.01604,2.536923,3.041726
479,3.01589,2.538357,3.04316
480,3.015504,2.536923,3.04316
481,3.015664,2.539791,3.04316
482,3.015322,2.538357,3.041726
483,3.014976,2.535489,3.038858
484,3.015037,2.538357,3.041726
485,3.014804,2.538357,3.040292
486,3.014844,2.538357,3.040292
487,3.014632,2.538357,3.040292
488,3.014263,2.538357,3.040292
489,3.014087,2.539791,3.038858
490,3.013968,2.536923,3.041726
491,3.013414,2.536923,3.038858
492,3.013432,2.536923,3.040292
493,3.013438,2.535489,3.038858
494,3.013355,2.535489,3.040292
495,3.012729,2.536923,3.038858
496,3.012524,2.536923,3.038858
497,3.01235,2.534055,3.038858
498,3.012385,2.536923,3.037424
499,3.01222,2.538357,3.037424
500,3.011884,2.536923,3.037424
501,3.011734,2.535489,3.038858
502,3.011669,2.535489,3.037424
503,3.011472,2.535489,3.037424
504,3.011161,2.538357,3.03599
505,3.010928,2.536923,3.037424
506,3.010917,2.536923,3.037424
507,3.010837,2.536923,3.037424
508,3.010559,2.534055,3.037424
509,3.010407,2.536923,3.03599
510,3.010463,2.535489,3.03599
511,3.010141,2.535489,3.037424
512,3.009708,2.534055,3.03599
513,3.009436,2.535489,3.034555
514,3.009286,2.534055,3.034555
515,3.009393,2.536923,3.03599
516,3.00919,2.531186,3.03599
517,3.009039,2.535489,3.03599
518,3.008749,2.535489,3.034555
519,3.008669,2.534055,3.034555
520,3.008544,2.534055,3.033121
521,3.008341,2.531186,3.034555
522,3.008297,2.535489,3.033121
523,3.007846,2.532621,3.033121
524,3.007613,2.534055,3.034555
525,3.007687,2.534055,3.03599
526,3.007424,2.532621,3.031687
527,3.007113,2.534055,3.034555
528,3.007121,2.532621,3.033121
529,3.006913,2.532621,3.034555
530,3.006757,2.529752,3.033121
531,3.006462,2.534055,3.031687
532,3.006333,2.534055,3.033121
533,3.006186,2.532621,3.031687
534,3.006146,2.532621,3.033121
535,3.005973,2.531186,3.034555
536,3.005449,2.532621,3.031687
537,3.005441,2.534055,3.031687
538,3.005188,2.534055,3.031687
539,3.004977,2.534055,3.031687
540,3.004957,2.534055,3.033121
541,3.00466,2.532621,3.030253
542,3.004473,2.532621,3.030253
543,3.004148,2.531186,3.030253
544,3.004023,2.534055,3.030253
545,3.004034,2.532621,3.030253
546,3.003744,2.531186,3.031687
547,3.003624,2.531186,3.028819
548,3.003412,2.529752,3.028819
549,3.003143,2.531186,3.030253
550,3.002953,2.531186,3.030253
551,3.003004,2.531186,3.028819
552,3.002956,2.531186,3.028819
553,3.002824,2.529752,3.028819
554,3.002592,2.529752,3.028819
555,3.00245,2.531186,3.028819
556,3.002229,2.531186,3.027385
557,3.001909,2.531186,3.027385
558,3.001788,2.529752,3.027385
559,3.001598,2.529752,3.028819
560,3.00141,2.531186,3.028819
561,3.001374,2.529752,3.027385
562,3.001313,2.529752,3.025951
563,3.000879,2.529752,3.025951
564,3.001027,2.529752,3.027385
565,3.00071,2.526884,3.025951
566,3.000576,2.526884,3.027385
567,3.000447,2.529752,3.024517
568,3.000287,2.531186,3.025951
569,3.000114,2.529752,3.024517
570,2.999706,2.529752,3.024517
571,2.999582,2.528318,3.025951
572,2.999393,2.528318,3.025951
573,2.999351,2.528318,3.024517
574,2.999243,2.526884,3.025951
575,2.999156,2.529752,3.027385
576,2.998853,2.529752,3.023083
577,2.998805,2.528318,3.024517
578,2.998296,2.52545,3.023083
579,2.99793,2.526884,3.023083
580,2.997939,2.526884,3.025951
581,2.997989,2.52545,3.023083
582,2.997929,2.52545,3.024517
583,2.997672,2.52545,3.023083
584,2.997685,2.528318,3.027385
585,2.997384,2.526884,3.021649
586,2.997194,2.528318,3.023083
587,2.996999,2.524016,3.021649
588,2.997021,2.528318,3.023083
589,2.996948,2.526884,3.023083
590,2.996932,2.52545,3.023083
591,2.996679,2.526884,3.021649
592,2.996533,2.52545,3.021649
593,2.996296,2.524016,3.023083
594,2.996185,2.52545,3.023083
595,2.996064,2.526884,3.023083
596,2.995836,2.52545,3.021649
597,2.995387,2.526884,3.021649
598,2.995702,2.526884,3.020215
599,2.995672,2.52545,3.021649
600,2.99546,2.52545,3.021649
601,2.995238,2.524016,3.021649
602,2.995098,2.52545,3.020215
603,2.994999,2.526884,3.024517
604,2.994511,2.52545,3.020215
605,2.994602,2.524016,3.01878
606,2.994431,2.52545,3.020215
607,2.994493,2.52545,3.020215
608,2.994012,2.524016,3.020215
609,2.994047,2.52545,3.020215
610,2.994082,2.526884,3.020215
611,2.993738,2.524016,3.020215
612,2.993393,2.52545,3.017346
613,2.993396,2.524016,3.01878
614,2.993565,2.52545,3.01878
615,2.993293,2.52545,3.01878
616,2.992957,2.524016,3.017346
617,2.992697,2.524016,3.01878
618,2.992358,2.524016,3.01878
619,2.99226,2.524016,3.017346
620,2.992331,2.524016,3.017346
621,2.992362,2.524016,3.017346
622,2.991891,2.524016,3.017346
623,2.9919,2.522582,3.017346
624,2.9918,2.522582,3.017346
625,2.991737,2.522582,3.017346
626,2.991521,2.524016,3.01878
627,2.991462,2.524016,3.017346
628,2.991205,2.521148,3.015912
629,2.99113,2.521148,3.017346
630,2.991181,2.524016,3.017346
631,2.990842,2.521148,3.015912
632,2.990615,2.524016,3.015912
633,2.990479,2.524016,3.017346
634,2.990785,2.519714,3.015912
635,2.990694,2.524016,3.015912
636,2.990222,2.522582,3.015912
637,2.990057,2.522582,3.015912
638,2.989806,2.519714,3.014478
639,2.98985,2.524016,3.015912
640,2.989442,2.519714,3.014478
641,2.989646,2.52545,3.014478
642,2.989308,2.522582,3.015912
643,2.98909,2.522582,3.013044
644,2.989124,2.521148,3.014478
645,2.988911,2.522582,3.014478
646,2.988678,2.521148,3.014478
647,2.988178,2.521148,3.013044
648,2.988343,2.521148,3.015912
649,2.988401,2.522582,3.013044
650,2.988242,2.522582,3.014478
651,2.987852,2.521148,3.014478
652,2.987746,2.521148,3.013044
653,2.987797,2.521148,3.013044
654,2.987511,2.521148,3.013044
655,2.987475,2.521148,3.013044
656,2.987454,2.521148,3.013044
657,2.987315,2.522582,3.015912
658,2.987129,2.51828,3.013044
659,2.986903,2.519714,3.01161
660,2.986837,2.522582,3.01161
661,2.986582,2.519714,3.01161
662,2.986647,2.519714,3.01161
663,2.986522,2.521148,3.013044
664,2.986407,2.519714,3.01161
665,2.985879,2.51828,3.010176
666,2.985894,2.521148,3.013044
667,2.985694,2.521148,3.010176
