EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 0.49999872,,,
Number of sample: 86400/86400,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/03/01 01:58:57,,,
,,,
"V1: 0.500000, 1.440000",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
352,2.909644,2.809402,2.926998
353,2.909268,2.807968,2.926998
354,2.909448,2.807968,2.926998
355,2.909144,2.809402,2.928432
356,2.909439,2.809402,2.926998
357,2.909629,2.809402,2.926998
358,2.909429,2.807968,2.929866
359,2.909565,2.809402,2.928432
360,2.909866,2.809402,2.929866
361,2.909686,2.807968,2.926998
362,2.909967,2.807968,2.929866
363,2.909838,2.809402,2.926998
364,2.909762,2.809402,2.926998
365,2.909927,2.810836,2.928432
366,2.910159,2.807968,2.926998
367,2.910218,2.806534,2.928432
368,2.910061,2.807968,2.929866
369,2.910003,2.810836,2.926998
370,2.910122,2.809402,2.929866
371,2.910044,2.809402,2.926998
372,2.909977,2.810836,2.9313
373,2.91004,2.810836,2.926998
374,2.910079,2.810836,2.928432
375,2.910031,2.809402,2.928432
376,2.910083,2.809402,2.928432
377,2.910202,2.809402,2.928432
378,2.909946,2.807968,2.928432
379,2.909988,2.806534,2.928432
380,2.909803,2.810836,2.926998
381,2.90999,2.810836,2.932734
382,2.909972,2.810836,2.929866
383,2.909744,2.809402,2.926998
384,2.909388,2.809402,2.928432
385,2.909486,2.809402,2.926998
386,2.909736,2.810836,2.926998
387,2.909591,2.807968,2.926998
388,2.909513,2.807968,2.928432
389,2.909711,2.810836,2.928432
390,2.909519,2.807968,2.926998
391,2.909331,2.809402,2.926998
392,2.909447,2.807968,2.928432
393,2.909407,2.807968,2.928432
394,2.909449,2.810836,2.928432
395,2.909373,2.809402,2.928432
396,2.909332,2.809402,2.926998
397,2.909333,2.803665,2.928432
398,2.909314,2.809402,2.926998
399,2.909463,2.807968,2.928432
400,2.909059,2.809402,2.926998
401,2.90931,2.809402,2.926998
402,2.909188,2.807968,2.926998
403,2.909232,2.810836,2.926998
404,2.909056,2.807968,2.926998
405,2.909494,2.809402,2.928432
406,2.90948,2.810836,2.928432
407,2.909489,2.809402,2.928432
408,2.909529,2.810836,2.926998
409,2.909252,2.806534,2.928432
410,2.909381,2.810836,2.928432
411,2.909522,2.809402,2.926998
412,2.909677,2.806534,2.929866
413,2.909631,2.809402,2.926998
414,2.909346,2.809402,2.928432
415,2.909158,2.806534,2.928432
416,2.90917,2.807968,2.926998
417,2.909191,2.806534,2.926998
418,2.909206,2.807968,2.928432
419,2.90918,2.807968,2.928432
420,2.909178,2.805099,2.926998
421,2.909367,2.807968,2.929866
422,2.90928,2.810836,2.926998
423,2.909141,2.807968,2.926998
424,2.909579,2.805099,2.928432
425,2.90991,2.807968,2.928432
426,2.909406,2.809402,2.926998
