EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 0.49999872,,,
Number of sample: 172800/172800,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/03/06 09:23:31,,,
,,,
"V1: 0.500000, 1.406250",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
290,2.691147,2.446574,2.856727
291,2.690959,2.449443,2.858161
292,2.690565,2.448009,2.855293
293,2.690645,2.446574,2.855293
294,2.690454,2.448009,2.855293
295,2.690323,2.44514,2.856727
296,2.690814,2.449443,2.856727
297,2.690997,2.449443,2.855293
298,2.691208,2.450877,2.856727
299,2.69088,2.450877,2.855293
300,2.690849,2.453745,2.852425
301,2.690102,2.452311,2.853859
302,2.690127,2.452311,2.855293
303,2.689962,2.453745,2.855293
304,2.689641,2.452311,2.853859
305,2.689862,2.453745,2.853859
306,2.689401,2.448009,2.852425
307,2.688815,2.453745,2.850991
308,2.68864,2.452311,2.850991
309,2.688517,2.452311,2.850991
310,2.6879,2.452311,2.849557
311,2.687986,2.449443,2.849557
312,2.687633,2.450877,2.848123
313,2.687211,2.450877,2.849557
314,2.687325,2.452311,2.846689
315,2.687249,2.450877,2.848123
316,2.686712,2.452311,2.846689
317,2.686094,2.450877,2.845254
318,2.685748,2.450877,2.846689
319,2.685544,2.450877,2.846689
320,2.685414,2.452311,2.84382
321,2.68541,2.452311,2.845254
322,2.685245,2.452311,2.846689
323,2.68484,2.449443,2.845254
324,2.684526,2.449443,2.845254
325,2.684806,2.452311,2.846689
326,2.684788,2.450877,2.84382
327,2.684545,2.452311,2.846689
328,2.684349,2.450877,2.842386
329,2.683783,2.450877,2.84382
330,2.683799,2.452311,2.842386
331,2.683597,2.452311,2.842386
332,2.683649,2.453745,2.842386
333,2.683596,2.452311,2.842386
334,2.683326,2.453745,2.840952
335,2.682927,2.452311,2.840952
336,2.682907,2.452311,2.840952
337,2.682716,2.452311,2.840952
338,2.68245,2.453745,2.840952
339,2.682158,2.450877,2.842386
340,2.681823,2.452311,2.839518
341,2.681283,2.450877,2.839518
342,2.680957,2.450877,2.838084
343,2.680845,2.450877,2.838084
344,2.680554,2.450877,2.838084
345,2.680346,2.452311,2.83665
346,2.68018,2.449443,2.83665
347,2.679968,2.450877,2.83665
348,2.679504,2.449443,2.838084
349,2.679264,2.448009,2.83665
350,2.678942,2.449443,2.83665
351,2.678371,2.450877,2.835216
352,2.678526,2.449443,2.83665
353,2.678099,2.449443,2.835216
354,2.678136,2.450877,2.835216
355,2.677918,2.448009,2.835216
356,2.677201,2.448009,2.833781
357,2.677218,2.449443,2.835216
358,2.676686,2.449443,2.833781
359,2.676307,2.449443,2.835216
360,2.676002,2.448009,2.833781
361,2.675786,2.448009,2.832347
362,2.675463,2.448009,2.832347
363,2.675297,2.448009,2.830913
364,2.675128,2.448009,2.832347
365,2.675033,2.44514,2.829479
366,2.674786,2.449443,2.830913
367,2.674612,2.448009,2.829479
368,2.674201,2.44514,2.833781
369,2.673899,2.448009,2.829479
370,2.673861,2.448009,2.830913
371,2.673883,2.448009,2.829479
372,2.673462,2.446574,2.828045
373,2.672953,2.446574,2.826611
374,2.6727,2.448009,2.826611
375,2.67257,2.446574,2.828045
376,2.67244,2.446574,2.826611
377,2.672379,2.446574,2.826611
378,2.672316,2.443706,2.828045
379,2.672101,2.448009,2.828045
380,2.672109,2.448009,2.826611
381,2.67167,2.443706,2.828045
382,2.671492,2.44514,2.826611
383,2.671029,2.446574,2.826611
384,2.670706,2.446574,2.822309
385,2.670214,2.44514,2.823743
386,2.670192,2.446574,2.823743
387,2.670139,2.44514,2.822309
388,2.669945,2.446574,2.822309
389,2.669535,2.446574,2.823743
390,2.669593,2.44514,2.826611
391,2.669538,2.446574,2.822309
392,2.669187,2.446574,2.822309
393,2.668933,2.44514,2.819441
394,2.668639,2.44514,2.822309
395,2.668601,2.446574,2.820875
396,2.668076,2.443706,2.822309
397,2.667913,2.443706,2.822309
398,2.66746,2.443706,2.819441
399,2.667115,2.446574,2.820875
400,2.666809,2.443706,2.819441
401,2.666488,2.44514,2.819441
402,2.6662,2.443706,2.818007
403,2.666003,2.439404,2.819441
404,2.66584,2.443706,2.818007
405,2.665721,2.44514,2.820875
406,2.665409,2.440838,2.818007
407,2.665571,2.44514,2.816572
408,2.665242,2.443706,2.818007
