EL34143A exported datalog
File type: CSV
File version: 1

"Per division: 5.000000"
"Offset: 0.000000"
"Trigger position: 0"
"Sample interval: 5.00000763"
"Number of sample: 120960/120960"
"Trigger sample: 0"
"Number of pre-trigger sample: 0"
"Date: 2025/03/15 10:33:13"

"V1: 1.000000, 1.600000"
"I1: 1.000000, 0.000000"
"P1: 5.000000, 0.000000"

Power Enabled:,None

Enable:,"Volt avg 1","Volt min 1","Volt max 1"
361,3.066191,2.394947,3.091920
362,3.065862,2.392079,3.090485
363,3.065789,2.393513,3.090485
364,3.065415,2.393513,3.091920
365,3.065279,2.392079,3.090485
366,3.065007,2.393513,3.091920
367,3.064700,2.392079,3.089051
368,3.064582,2.393513,3.090485
369,3.064369,2.392079,3.089051
370,3.064210,2.392079,3.090485
371,3.063936,2.393513,3.089051
372,3.063581,2.393513,3.089051
373,3.063373,2.392079,3.089051
374,3.063182,2.392079,3.090485
375,3.063167,2.392079,3.091920
376,3.063049,2.387776,3.089051
377,3.062675,2.389210,3.087617
378,3.062468,2.386342,3.087617
379,3.062170,2.390645,3.086183
380,3.062030,2.390645,3.087617
381,3.061797,2.387776,3.086183
382,3.061452,2.390645,3.089051
383,3.061432,2.389210,3.087617
384,3.061130,2.390645,3.086183
385,3.060928,2.390645,3.086183
386,3.060861,2.389210,3.084749
387,3.060818,2.387776,3.086183
388,3.060412,2.387776,3.086183
389,3.060194,2.387776,3.086183
390,3.059788,2.389210,3.086183
391,3.059549,2.387776,3.084749
392,3.059515,2.387776,3.084749
393,3.059737,2.387776,3.084749
394,3.059285,2.387776,3.084749
395,3.058753,2.384908,3.083315
396,3.058942,2.386342,3.083315
397,3.058418,2.384908,3.083315
398,3.057998,2.382040,3.083315
399,3.058448,2.384908,3.084749
400,3.057985,2.383474,3.083315
401,3.057705,2.384908,3.083315
402,3.057875,2.384908,3.083315
403,3.057583,2.383474,3.081881
404,3.056846,2.384908,3.080447
405,3.057230,2.383474,3.081881
406,3.056529,2.384908,3.083315
407,3.056365,2.383474,3.080447
408,3.056559,2.379172,3.083315
409,3.055950,2.383474,3.083315
410,3.055946,2.382040,3.081881
411,3.055850,2.379172,3.081881
412,3.055517,2.382040,3.081881
413,3.055228,2.383474,3.079013
414,3.054876,2.380606,3.079013
415,3.054657,2.382040,3.080447
416,3.054590,2.382040,3.081881
417,3.054509,2.379172,3.079013
418,3.054259,2.382040,3.079013
419,3.054126,2.379172,3.080447
420,3.054144,2.377738,3.080447
421,3.053634,2.380606,3.079013
422,3.053147,2.377738,3.079013
423,3.053362,2.380606,3.079013
424,3.053012,2.377738,3.079013
425,3.052803,2.379172,3.077579
426,3.052497,2.376304,3.077579
427,3.052176,2.379172,3.077579
428,3.051851,2.376304,3.077579
429,3.052196,2.377738,3.076144
430,3.052023,2.374870,3.077579
431,3.051633,2.376304,3.077579
432,3.051492,2.377738,3.076144
433,3.051139,2.376304,3.076144
434,3.050849,2.377738,3.079013
435,3.050553,2.377738,3.076144
436,3.050202,2.374870,3.074710
437,3.050376,2.373435,3.074710
438,3.050097,2.376304,3.077579
439,3.049829,2.374870,3.076144
440,3.049734,2.374870,3.074710
441,3.049617,2.374870,3.074710
442,3.049598,2.374870,3.076144
443,3.049423,2.374870,3.074710
444,3.049378,2.372001,3.074710
445,3.048896,2.373435,3.074710
446,3.048670,2.374870,3.073276
447,3.048049,2.374870,3.073276
448,3.048046,2.369133,3.073276
449,3.047971,2.373435,3.074710
450,3.047586,2.370567,3.073276
451,3.047316,2.370567,3.071842
452,3.047276,2.369133,3.073276
453,3.047471,2.372001,3.073276
454,3.047033,2.370567,3.073276
455,3.046752,2.370567,3.074710
456,3.046690,2.366265,3.071842
457,3.046360,2.369133,3.070408
458,3.046318,2.370567,3.071842
459,3.046081,2.367699,3.070408
460,3.045643,2.369133,3.070408
461,3.045392,2.366265,3.071842
462,3.045380,2.367699,3.070408
463,3.045627,2.367699,3.071842
464,3.045271,2.367699,3.071842
465,3.045345,2.367699,3.070408
466,3.045259,2.367699,3.073276
467,3.045127,2.366265,3.071842
468,3.045047,2.367699,3.070408
469,3.044303,2.363397,3.068974
470,3.044088,2.366265,3.068974
471,3.044525,2.366265,3.068974
472,3.044475,2.361963,3.068974
473,3.044198,2.364831,3.070408
474,3.044429,2.363397,3.070408
475,3.043888,2.361963,3.068974
476,3.043409,2.363397,3.070408
477,3.043447,2.361963,3.068974
478,3.043050,2.361963,3.067540
479,3.042853,2.363397,3.067540
480,3.042829,2.359094,3.067540
481,3.042467,2.357660,3.068974
482,3.042260,2.359094,3.067540
483,3.042338,2.359094,3.067540
484,3.042135,2.359094,3.067540
485,3.041986,2.357660,3.066106
486,3.041701,2.359094,3.068974
487,3.041380,2.357660,3.066106
488,3.041295,2.356226,3.066106
489,3.041258,2.356226,3.066106
490,3.040880,2.356226,3.066106
491,3.040264,2.354792,3.066106
492,3.040660,2.356226,3.067540
493,3.040528,2.353358,3.066106
494,3.040172,2.354792,3.067540
495,3.040112,2.350490,3.064672
496,3.039960,2.351924,3.066106
497,3.039864,2.351924,3.066106
498,3.039693,2.349056,3.064672
499,3.039431,2.349056,3.064672
500,3.039044,2.349056,3.064672
501,3.039254,2.347622,3.066106
502,3.039057,2.346188,3.064672
503,3.038843,2.344754,3.064672
504,3.038973,2.343319,3.063238
505,3.038531,2.340451,3.066106
506,3.038174,2.341885,3.063238
507,3.038066,2.341885,3.064672
508,3.037811,2.341885,3.063238
509,3.037477,2.337583,3.063238
510,3.037324,2.334715,3.067540
511,3.036988,2.336149,3.061803
512,3.036956,2.331846,3.063238
513,3.036843,2.330412,3.061803
514,3.036661,2.330412,3.061803
515,3.036116,2.328978,3.061803
516,3.035727,2.327544,3.061803
517,3.035332,2.324676,3.061803
518,3.035524,2.321808,3.061803
519,3.035424,2.320374,3.061803
520,3.034817,2.318940,3.060369
521,3.034213,2.316072,3.063238
522,3.034365,2.307467,3.061803
523,3.034021,2.300296,3.058935
524,3.034069,2.285955,3.060369
525,3.032974,2.065104,3.061803
526,3.032123,2.156886,3.060369
527,3.031575,2.082313,3.058935
528,3.030993,2.085181,3.058935
529,3.030275,2.080879,3.058935
530,3.030919,2.100956,3.058935
531,3.030808,2.148282,3.058935
532,3.030224,2.152584,3.060369
533,3.030319,2.151150,3.057501
534,3.031088,2.178398,3.058935
535,3.030198,2.164057,3.058935
536,3.030122,2.156886,3.058935
537,3.030217,2.155452,3.057501
538,3.029856,2.152584,3.057501
539,3.029473,2.142545,3.056067
540,3.029438,2.148282,3.056067
541,3.028943,2.142545,3.057501
542,3.028563,2.146848,3.056067
543,3.028323,2.146848,3.057501
544,3.027839,2.145414,3.056067
545,3.027893,2.135375,3.057501
546,3.028096,2.143980,3.056067
547,3.027878,2.145414,3.056067
548,3.027814,2.146848,3.056067
549,3.027967,2.148282,3.056067
550,3.027419,2.149716,3.057501
551,3.027282,2.148282,3.056067
552,3.027149,2.142545,3.054633
553,3.026959,2.148282,3.053199
554,3.026734,2.146848,3.054633
555,3.026450,2.141111,3.054633
556,3.026535,2.146848,3.057501
557,3.026371,2.146848,3.053199
558,3.026583,2.151150,3.054633
559,3.026257,2.155452,3.056067
560,3.026101,2.152584,3.054633
561,3.026355,2.168359,3.054633
562,3.025844,2.161189,3.054633
563,3.025672,2.149716,3.054633
564,3.025781,2.156886,3.054633
565,3.025275,2.151150,3.053199
566,3.025380,2.158320,3.053199
567,3.025462,2.169793,3.054633
568,3.025004,2.162623,3.051765
569,3.024730,2.162623,3.051765
570,3.024962,2.162623,3.053199
571,3.024518,2.164057,3.053199
572,3.024626,2.189871,3.051765
573,3.024364,2.176964,3.051765
574,3.023968,2.169793,3.051765
575,3.024099,2.161189,3.050331
576,3.024151,2.171227,3.056067
577,3.023843,2.181266,3.051765
578,3.024143,2.184134,3.051765
579,3.024040,2.178398,3.051765
580,3.023652,2.171227,3.050331
581,3.023352,2.168359,3.051765
582,3.023351,2.181266,3.054633
583,3.022822,2.178398,3.050331
584,3.022738,2.184134,3.050331
585,3.022772,2.175530,3.051765
586,3.022506,2.168359,3.050331
587,3.022425,2.164057,3.051765
588,3.021951,2.155452,3.050331
589,3.021566,2.151150,3.050331
590,3.021825,2.166925,3.050331
591,3.021718,2.171227,3.048897
592,3.021488,2.171227,3.051765
593,3.021270,2.164057,3.048897
594,3.021439,2.161189,3.048897
595,3.021309,2.159755,3.050331
596,3.021327,2.164057,3.048897
597,3.021379,2.182700,3.050331
598,3.020939,2.175530,3.050331
599,3.020962,2.172662,3.047462
600,3.021235,2.188437,3.050331
601,3.020921,2.191305,3.047462
602,3.020775,2.189871,3.047462
603,3.020745,2.181266,3.050331
604,3.020439,2.179832,3.047462
605,3.020327,2.178398,3.047462
606,3.019858,2.169793,3.046028
607,3.019286,2.166925,3.047462
608,3.019298,2.156886,3.047462
609,3.019118,2.152584,3.047462
610,3.019003,2.169793,3.047462
611,3.018851,2.165491,3.046028
612,3.018889,2.158320,3.046028
613,3.018146,2.168359,3.046028
614,3.017763,2.164057,3.044594
615,3.018115,2.162623,3.046028
616,3.018257,2.171227,3.046028
617,3.017994,2.175530,3.047462
618,3.018164,2.164057,3.046028
619,3.018233,2.159755,3.047462
620,3.017847,2.162623,3.046028
621,3.017538,2.162623,3.043160
622,3.017583,2.162623,3.046028
623,3.017426,2.162623,3.044594
624,3.017159,2.161189,3.043160
625,3.016872,2.155452,3.047462
626,3.016723,2.154018,3.044594
627,3.016855,2.155452,3.044594
628,3.016631,2.159755,3.044594
629,3.016697,2.172662,3.044594
630,3.016876,2.176964,3.044594
631,3.016897,2.178398,3.044594
632,3.016563,2.176964,3.043160
633,3.016391,2.176964,3.043160
634,3.016360,2.174096,3.044594
635,3.016252,2.182700,3.043160
636,3.016253,2.184134,3.046028
637,3.016049,2.181266,3.043160
638,3.015694,2.182700,3.043160
639,3.015547,2.181266,3.041726
640,3.015308,2.181266,3.043160
641,3.015179,2.182700,3.041726
642,3.015428,2.185568,3.041726
643,3.014789,2.184134,3.041726
644,3.014894,2.184134,3.043160
645,3.014863,2.184134,3.041726
646,3.014687,2.178398,3.041726
647,3.014582,2.179832,3.043160
648,3.014833,2.181266,3.043160
649,3.014024,2.174096,3.041726
650,3.013925,2.174096,3.041726
651,3.013981,2.172662,3.041726
652,3.013797,2.169793,3.041726
653,3.013569,2.165491,3.041726
654,3.013648,2.162623,3.041726
655,3.013461,2.178398,3.041726
656,3.013499,2.174096,3.041726
657,3.013345,2.174096,3.040292
658,3.013071,2.169793,3.040292
659,3.012911,2.171227,3.043160
660,3.013034,2.176964,3.040292
661,3.013024,2.179832,3.040292
662,3.012952,2.185568,3.040292
663,3.012824,2.185568,3.040292
664,3.012497,2.181266,3.040292
665,3.012440,2.176964,3.038858
666,3.012707,2.188437,3.038858
667,3.012090,2.188437,3.041726
668,3.012009,2.184134,3.040292
669,3.012162,2.178398,3.040292
670,3.011654,2.179832,3.038858
671,3.011311,2.175530,3.037424
672,3.011699,2.171227,3.038858
673,3.011539,2.175530,3.038858
674,3.011455,2.172662,3.038858
675,3.011233,2.166925,3.040292
676,3.010817,2.176964,3.038858
677,3.010850,2.185568,3.040292
678,3.010812,2.181266,3.037424
679,3.010341,2.172662,3.038858
680,3.009786,2.164057,3.037424
681,3.010309,2.176964,3.038858
682,3.010087,2.169793,3.037424
683,3.010067,2.174096,3.035990
684,3.009944,2.169793,3.037424
685,3.009788,2.169793,3.038858
686,3.009743,2.169793,3.037424
687,3.009483,2.176964,3.035990
688,3.009181,2.175530,3.037424
689,3.009109,2.176964,3.037424
690,3.009084,2.174096,3.035990
691,3.009075,2.171227,3.035990
692,3.008907,2.171227,3.035990
693,3.009365,2.178398,3.035990
694,3.009080,2.199909,3.037424
695,3.009104,2.198475,3.034555
696,3.009140,2.199909,3.037424
697,3.008838,2.198475,3.035990
698,3.008853,2.197041,3.034555
699,3.008495,2.192739,3.034555
700,3.008046,2.192739,3.034555
701,3.008012,2.189871,3.034555
702,3.008013,2.188437,3.034555
703,3.007863,2.184134,3.034555
704,3.007864,2.188437,3.034555
705,3.008004,2.189871,3.034555
706,3.007941,2.189871,3.034555
707,3.008082,2.189871,3.034555
708,3.007853,2.182700,3.034555
709,3.007193,2.178398,3.035990
710,3.007481,2.181266,3.035990
711,3.007229,2.191305,3.034555
712,3.007170,2.187002,3.033121
713,3.007158,2.184134,3.034555
714,3.006812,2.179832,3.033121
715,3.006604,2.179832,3.034555
716,3.006894,2.188437,3.034555
717,3.006573,2.182700,3.033121
718,3.006274,2.184134,3.034555
719,3.006409,2.181266,3.034555
720,3.005878,2.179832,3.033121
721,3.006044,2.176964,3.033121
722,3.006411,2.189871,3.033121
723,3.006034,2.187002,3.034555
724,3.005941,2.184134,3.033121
725,3.006084,2.179832,3.033121
726,3.005568,2.175530,3.031687
727,3.005419,2.181266,3.033121
728,3.005800,2.188437,3.033121
729,3.005180,2.188437,3.033121
730,3.004912,2.182700,3.031687
731,3.004920,2.182700,3.033121
732,3.004717,2.175530,3.031687
733,3.004565,2.178398,3.033121
734,3.004483,2.178398,3.031687
735,3.004193,2.176964,3.031687
736,3.003847,2.172662,3.030253
737,3.004314,2.182700,3.030253
738,3.004343,2.179832,3.028819
739,3.003651,2.179832,3.031687
740,3.003846,2.175530,3.030253
741,3.003217,2.178398,3.030253
742,3.003335,2.169793,3.030253
743,3.003539,2.171227,3.030253
744,3.003061,2.176964,3.031687
745,3.003663,2.204212,3.028819
746,3.003505,2.202778,3.030253
747,3.003298,2.199909,3.033121
748,3.002896,2.197041,3.030253
749,3.003024,2.195607,3.035990
750,3.002904,2.189871,3.030253
751,3.003063,2.192739,3.030253
752,3.003097,2.189871,3.030253
753,3.002423,2.179832,3.028819
754,3.001917,2.179832,3.028819
755,3.001855,2.172662,3.027385
756,3.001709,2.171227,3.030253
757,3.001403,2.165491,3.028819
758,3.001977,2.169793,3.028819
759,3.001542,2.184134,3.028819
760,3.001189,2.179832,3.027385
761,3.001273,2.175530,3.027385
762,3.000996,2.168359,3.028819
763,3.000789,2.159755,3.027385
764,3.000928,2.162623,3.028819
765,3.000412,2.168359,3.027385
766,3.000197,2.175530,3.027385
767,3.000168,2.165491,3.025951
768,2.999851,2.161189,3.025951
769,2.999937,2.166925,3.028819
