EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 5.00000763,,,
Number of sample: 120960/120960,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/03/15 10:07:30,,,
,,,
"V1: 1.000000, 1.600000",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
346,3.022139,2.726224,3.044594
347,3.021755,2.726224,3.044594
348,3.021325,2.726224,3.041726
349,3.021184,2.726224,3.044594
350,3.020652,2.72479,3.04316
351,3.02047,2.726224,3.041726
352,3.020348,2.72479,3.041726
353,3.020319,2.726224,3.041726
354,3.020085,2.723356,3.04316
355,3.019732,2.726224,3.041726
356,3.019366,2.72479,3.04316
357,3.019407,2.72479,3.040292
358,3.019457,2.72479,3.040292
359,3.019144,2.723356,3.041726
360,3.019027,2.723356,3.040292
361,3.018736,2.723356,3.040292
362,3.018427,2.721922,3.040292
363,3.018408,2.723356,3.040292
364,3.018131,2.72479,3.041726
365,3.017833,2.723356,3.040292
366,3.017458,2.723356,3.038858
367,3.017571,2.721922,3.038858
368,3.017263,2.719054,3.038858
369,3.016881,2.723356,3.038858
370,3.016376,2.720488,3.037424
371,3.016392,2.721922,3.038858
372,3.01608,2.721922,3.037424
373,3.015962,2.723356,3.037424
374,3.015716,2.721922,3.037424
375,3.015599,2.721922,3.037424
376,3.015553,2.721922,3.038858
377,3.01537,2.721922,3.037424
378,3.015065,2.720488,3.037424
379,3.01506,2.723356,3.037424
380,3.014753,2.719054,3.037424
381,3.01456,2.721922,3.037424
382,3.013904,2.720488,3.037424
383,3.0137,2.717619,3.034555
384,3.013794,2.721922,3.037424
385,3.013545,2.720488,3.03599
386,3.013088,2.719054,3.033121
387,3.013175,2.719054,3.034555
388,3.01349,2.720488,3.03599
389,3.012678,2.719054,3.033121
390,3.01246,2.719054,3.034555
391,3.012718,2.719054,3.034555
392,3.012268,2.720488,3.034555
393,3.012369,2.717619,3.03599
394,3.012117,2.714751,3.033121
395,3.011676,2.719054,3.034555
396,3.011181,2.720488,3.033121
397,3.010933,2.717619,3.034555
398,3.010823,2.716185,3.033121
399,3.010795,2.716185,3.033121
