EL34143A exported datalog,
File type: CSV,
File version: 1,
,
Per division: 5.000000,
Offset: -3.111111,
Trigger position: 0,
Sample interval: 0.49999872,
Number of sample: 172800/172800,
Trigger sample: 0,
Number of pre-trigger sample: 0,
Date: 2025/03/03 03:23:09,
,
"V1: 0.500000, 1.340000",
"I1: 1.000000, 0.000000",
"P1: 5.000000, 0.000000",
,
Power Enabled:,None
,
Enable:,Volt avg 1
1175,2.851638
1176,2.851421
1177,2.851575
1178,2.851658
1179,2.851821
1180,2.851421
1181,2.851654
1182,2.851753
1183,2.851968
1184,2.851617
1185,2.851692
1186,2.851767
1187,2.851373
1188,2.850882
1189,2.850969
1190,2.851013
1191,2.85119
1192,2.85102
1193,2.850849
1194,2.850498
1195,2.850298
1196,2.850504
1197,2.850418
1198,2.850132
1199,2.850326
1200,2.849976
1201,2.849725
1202,2.849602
1203,2.849613
1204,2.849447
1205,2.849814
1206,2.850095
1207,2.849898
1208,2.849649
1209,2.849909
1210,2.850086
1211,2.849878
1212,2.849865
1213,2.849591
1214,2.849531
1215,2.849458
1216,2.849344
1217,2.849548
1218,2.849375
1219,2.84938
1220,2.849262
1221,2.849119
1222,2.848987
1223,2.849197
1224,2.848935
1225,2.848897
1226,2.848991
1227,2.848468
1228,2.848305
1229,2.84844
1230,2.84813
1231,2.847963
1232,2.84798
1233,2.848201
1234,2.848082
1235,2.848175
1236,2.848005
1237,2.848216
1238,2.84778
1239,2.848017
1240,2.847689
1241,2.847717
1242,2.847746
1243,2.847704
1244,2.84762
1245,2.84727
1246,2.847414
1247,2.847521
1248,2.847504
1249,2.847507
1250,2.847031
1251,2.847
1252,2.847273
1253,2.847291
1254,2.846887
1255,2.846959
1256,2.846997
1257,2.846992
1258,2.84672
1259,2.846933
1260,2.846791
1261,2.846718
1262,2.846497
1263,2.846822
1264,2.847016
1265,2.846768
1266,2.846663
1267,2.846633
1268,2.846189
1269,2.846554
1270,2.846347
1271,2.845947
1272,2.845913
1273,2.84593
1274,2.845675
1275,2.845563
1276,2.845646
1277,2.845469
1278,2.845317
1279,2.845554
1280,2.84523
1281,2.84484
1282,2.844956
1283,2.844934
1284,2.844558
1285,2.845175
1286,2.845003
1287,2.845065
1288,2.844564
1289,2.844617
1290,2.844514
1291,2.844371
1292,2.84443
1293,2.844239
1294,2.844503
1295,2.844296
1296,2.844398
1297,2.844237
1298,2.844003
1299,2.844077
1300,2.84434
1301,2.844202
1302,2.844156
1303,2.844214
1304,2.844223
1305,2.843995
1306,2.844028
1307,2.843858
1308,2.843589
1309,2.843836
1310,2.843937
1311,2.84339
1312,2.843295
1313,2.843102
1314,2.843347
1315,2.843398
1316,2.843004
1317,2.843243
1318,2.842827
1319,2.842979
1320,2.843065
1321,2.843154
1322,2.843395
1323,2.842879
1324,2.843179
1325,2.84305
1326,2.843041
1327,2.842318
1328,2.842676
1329,2.842433
1330,2.842343
1331,2.842467
1332,2.842396
1333,2.842222
1334,2.842278
1335,2.842358
1336,2.842146
1337,2.841702
1338,2.841673
1339,2.841748
1340,2.841563
1341,2.841602
1342,2.841273
1343,2.841086
1344,2.841329
1345,2.841149
1346,2.84095
1347,2.840909
1348,2.840872
1349,2.840921
1350,2.841048
1351,2.841002
1352,2.840773
1353,2.840661
1354,2.840781
1355,2.840868
1356,2.840477
1357,2.840305
1358,2.840061
1359,2.840442
1360,2.840286
1361,2.840178
1362,2.839701
1363,2.83995
1364,2.840325
1365,2.84028
1366,2.840219
1367,2.840401
1368,2.840018
1369,2.84005
1370,2.84007
1371,2.839788
1372,2.839787
1373,2.839943
1374,2.839911
1375,2.839749
1376,2.839716
1377,2.839459
1378,2.839165
1379,2.839065
1380,2.838997
1381,2.839103
1382,2.839237
1383,2.839282
1384,2.839161
1385,2.838941
1386,2.839022
1387,2.838644
1388,2.838757
1389,2.838619
1390,2.838719
1391,2.83833
1392,2.838265
1393,2.838393
1394,2.838246
1395,2.838117
1396,2.838677
1397,2.838298
1398,2.838314
1399,2.83846
1400,2.838276
1401,2.838181
1402,2.838013
1403,2.83802
1404,2.837999
1405,2.837991
1406,2.837943
1407,2.837742
1408,2.837673
1409,2.837719
1410,2.837704
1411,2.83771
1412,2.837363
1413,2.837439
1414,2.837415
1415,2.837116
1416,2.837219
1417,2.837086
1418,2.837088
1419,2.83719
1420,2.837194
1421,2.836877
1422,2.836785
1423,2.836965
1424,2.836855
1425,2.836709
1426,2.836853
1427,2.836773
1428,2.83644
1429,2.836425
1430,2.836565
1431,2.836655
1432,2.836272
1433,2.835977
1434,2.836086
1435,2.836243
1436,2.836022
1437,2.83609
1438,2.835905
1439,2.836034
1440,2.835995
1441,2.83603
1442,2.836034
1443,2.836181
1444,2.835911
1445,2.835765
1446,2.835807
1447,2.835942
1448,2.83576
1449,2.835933
1450,2.835845
1451,2.835632
1452,2.835509
1453,2.835303
1454,2.835267
1455,2.835278
1456,2.835142
1457,2.835165
1458,2.835146
1459,2.834997
1460,2.835055
1461,2.835011
1462,2.834584
1463,2.834456
1464,2.834434
1465,2.834337
1466,2.834301
1467,2.834073
1468,2.834353
1469,2.834547
1470,2.834279
1471,2.834224
1472,2.834076
1473,2.833918
1474,2.833742
1475,2.833571
1476,2.833477
1477,2.833948
1478,2.833579
1479,2.833575
1480,2.833318
1481,2.833356
1482,2.833236
1483,2.833257
1484,2.833337
1485,2.833102
1486,2.833536
1487,2.833544
1488,2.833467
1489,2.833508
1490,2.833471
1491,2.833683
1492,2.833309
1493,2.833184
1494,2.833194
1495,2.833275
1496,2.833134
1497,2.833112
1498,2.833056
1499,2.832809
1500,2.832947
1501,2.832923
1502,2.832791
1503,2.832686
1504,2.832778
1505,2.832645
1506,2.832735
1507,2.832302
1508,2.832425
1509,2.832285
1510,2.832517
1511,2.832295
1512,2.832459
1513,2.832659
1514,2.832383
1515,2.832181
1516,2.832082
1517,2.83205
1518,2.832045
1519,2.832056
1520,2.832143
1521,2.83201
1522,2.831853
1523,2.831721
1524,2.831632
1525,2.831266
1526,2.831376
1527,2.831321
1528,2.831305
1529,2.831262
1530,2.831191
1531,2.831016
1532,2.831244
1533,2.831179
1534,2.831244
1535,2.831282
1536,2.831308
1537,2.831121
1538,2.83094
1539,2.830738
1540,2.830497
1541,2.830461
1542,2.830313
1543,2.830239
1544,2.830199
1545,2.829939
1546,2.830194
1547,2.830197
1548,2.829714
1549,2.829676
1550,2.829476
1551,2.829394
1552,2.829679
1553,2.82977
1554,2.829457
1555,2.829234
1556,2.829601
1557,2.829405
1558,2.829441
1559,2.829597
1560,2.829742
1561,2.829469
1562,2.829572
1563,2.829334
1564,2.829185
1565,2.829038
1566,2.829189
1567,2.829078
1568,2.829129
1569,2.829262
1570,2.829236
1571,2.829133
1572,2.828945
1573,2.828627
1574,2.828536
1575,2.82878
1576,2.828686
1577,2.828711
1578,2.828426
1579,2.828155
1580,2.828292
1581,2.828224
1582,2.828037
1583,2.827948
1584,2.827889
1585,2.828111
1586,2.828453
1587,2.828179
1588,2.827891
1589,2.828014
1590,2.828162
1591,2.828145
1592,2.827992
1593,2.827909
1594,2.82764
1595,2.827526
1596,2.827738
1597,2.827579
1598,2.827541
1599,2.827526
1600,2.827328
1601,2.827401
1602,2.827259
1603,2.826983
1604,2.827076
1605,2.827163
1606,2.826911
1607,2.827051
1608,2.827105
1609,2.827103
1610,2.826846
1611,2.827061
1612,2.826705
1613,2.826605
1614,2.82682
1615,2.826934
1616,2.826642
1617,2.826768
1618,2.826447
1619,2.826259
1620,2.826181
1621,2.826018
1622,2.82606
1623,2.826512
1624,2.826166
1625,2.826226
1626,2.826298
1627,2.826051
1628,2.826219
1629,2.826291
1630,2.826261
1631,2.825967
1632,2.82595
1633,2.825909
1634,2.825395
1635,2.825265
1636,2.825627
1637,2.825871
1638,2.825992
1639,2.825912
1640,2.82579
1641,2.825541
1642,2.825432
1643,2.825222
1644,2.825244
1645,2.825198
1646,2.825038
1647,2.824962
1648,2.824909
1649,2.824955
1650,2.8247
1651,2.824536
1652,2.824526
1653,2.824593
1654,2.824594
1655,2.824568
1656,2.82456
1657,2.824389
1658,2.824595
1659,2.824462
1660,2.824343
1661,2.824229
1662,2.824164
1663,2.823972
1664,2.824062
1665,2.824118
1666,2.82436
1667,2.823995
1668,2.823945
1669,2.824212
1670,2.824176
1671,2.823796
1672,2.823945
1673,2.823991
1674,2.823649
1675,2.823667
1676,2.823767
1677,2.823542
1678,2.82349
1679,2.823213
1680,2.823482
1681,2.823148
1682,2.823086
1683,2.823171
1684,2.823295
1685,2.823348
1686,2.823043
1687,2.822721
1688,2.823153
1689,2.823059
1690,2.823105
1691,2.822913
1692,2.822861
1693,2.822996
1694,2.822904
1695,2.822907
1696,2.822839
1697,2.822714
1698,2.822653
1699,2.822737
1700,2.822769
1701,2.82267
1702,2.822645
1703,2.82238
1704,2.822768
1705,2.822539
1706,2.822487
1707,2.822252
1708,2.822603
1709,2.822418
1710,2.822249
1711,2.822208
1712,2.821884
1713,2.821914
1714,2.822045
1715,2.822016
1716,2.821592
1717,2.821759
1718,2.821776
1719,2.821627
1720,2.821398
1721,2.821542
1722,2.821627
