EL34143A exported datalog
File type: CSV
File version: 1

"Per division: 5.000000"
"Offset: 0.000000"
"Trigger position: 0"
"Sample interval: 5.00000763"
"Number of sample: 51723/51846"
"Trigger sample: 0"
"Number of pre-trigger sample: 0"
"Date: 2025/07/29 01:28:06"

"V1: 2.000000, 0.000000"
"I1: 1.000000, 0.000000"
"P1: 5.000000, 0.000000"

Power Enabled:,None

Enable:,"Volt avg 1"
1179,2.807600
1180,2.807261
1181,2.807317
1182,2.807332
1183,2.807290
1184,2.807221
1185,2.807037
1186,2.807132
1187,2.807194
1188,2.807283
1189,2.807444
1190,2.807541
1191,2.807619
1192,2.807613
1193,2.807494
1194,2.807528
1195,2.807324
1196,2.807441
1197,2.807061
1198,2.807198
1199,2.807223
1200,2.807385
1201,2.807138
1202,2.806925
1203,2.806713
1204,2.806630
1205,2.806598
1206,2.806693
1207,2.806610
1208,2.806750
1209,2.806881
1210,2.806689
1211,2.806766
1212,2.806875
1213,2.806936
1214,2.807173
1215,2.807002
1216,2.806974
1217,2.807158
1218,2.806911
1219,2.807013
1220,2.807010
1221,2.807144
1222,2.806885
1223,2.806820
1224,2.806924
1225,2.806809
1226,2.806957
1227,2.806709
1228,2.806670
1229,2.806554
1230,2.806519
1231,2.806754
1232,2.806711
1233,2.806624
1234,2.806774
1235,2.806479
1236,2.806577
1237,2.806356
1238,2.806319
1239,2.806266
1240,2.806165
1241,2.806282
1242,2.806339
1243,2.806224
1244,2.806283
1245,2.806076
1246,2.806042
1247,2.806159
1248,2.806370
1249,2.806451
1250,2.806087
1251,2.805991
1252,2.805953
1253,2.805804
1254,2.805817
1255,2.805783
1256,2.805619
1257,2.805482
1258,2.805647
1259,2.805618
1260,2.805637
1261,2.805577
1262,2.805420
1263,2.805443
1264,2.805205
1265,2.805370
1266,2.805578
1267,2.805732
1268,2.805659
1269,2.805618
1270,2.805548
1271,2.805672
1272,2.805952
1273,2.805955
1274,2.805869
1275,2.805690
1276,2.805592
1277,2.805818
1278,2.806209
1279,2.806187
1280,2.806057
1281,2.805777
1282,2.805723
1283,2.805771
1284,2.805917
1285,2.805851
1286,2.805939
1287,2.805943
1288,2.805933
1289,2.805996
1290,2.805985
1291,2.806001
1292,2.805788
1293,2.805725
1294,2.805644
1295,2.805669
1296,2.805687
1297,2.805698
1298,2.805558
1299,2.805350
1300,2.805260
1301,2.805065
1302,2.805151
1303,2.805218
1304,2.805041
1305,2.805167
1306,2.805220
1307,2.805113
1308,2.805118
1309,2.805054
1310,2.804971
1311,2.804823
1312,2.805022
1313,2.805102
1314,2.805167
1315,2.805125
1316,2.805107
1317,2.805215
1318,2.804832
1319,2.804830
1320,2.804912
1321,2.804959
1322,2.804949
1323,2.804857
1324,2.804793
1325,2.804739
1326,2.804652
1327,2.804838
1328,2.804955
1329,2.805228
1330,2.805040
1331,2.805155
1332,2.805336
1333,2.805277
1334,2.805262
1335,2.805238
1336,2.805041
1337,2.805162
1338,2.805055
1339,2.804934
1340,2.804993
1341,2.804953
1342,2.804902
1343,2.804822
1344,2.804895
1345,2.805006
1346,2.804981
