EL34143A exported datalog,,,
File type: CSV,,,
File version: 1,,,
,,,
Per division: 5.000000,,,
Offset: 0.000000,,,
Trigger position: 0,,,
Sample interval: 0.49999872,,,
Number of sample: 86400/86400,,,
Trigger sample: 0,,,
Number of pre-trigger sample: 0,,,
Date: 2025/02/28 13:50:20,,,
,,,
"V1: 0.500000, 1.440000",,,
"I1: 1.000000, 0.000000",,,
"P1: 5.000000, 0.000000",,,
,,,
Power Enabled:,None,,
,,,
Enable:,Volt avg 1,Volt min 1,Volt max 1
466,3.159724,2.959982,3.185136
467,3.159487,2.95568,3.188004
468,3.159419,2.957114,3.185136
469,3.159533,2.959982,3.185136
470,3.159461,2.959982,3.185136
471,3.159244,2.958548,3.185136
472,3.159326,2.961416,3.185136
473,3.159532,2.959982,3.18657
474,3.159553,2.959982,3.185136
475,3.159404,2.957114,3.185136
476,3.159444,2.958548,3.185136
477,3.159242,2.959982,3.185136
478,3.158896,2.958548,3.185136
479,3.158901,2.957114,3.185136
480,3.158917,2.957114,3.18657
481,3.159028,2.95568,3.183702
482,3.158837,2.957114,3.185136
483,3.158721,2.957114,3.185136
484,3.158921,2.958548,3.18657
485,3.159163,2.958548,3.185136
486,3.159059,2.959982,3.185136
487,3.158949,2.958548,3.185136
488,3.158884,2.959982,3.183702
489,3.158874,2.958548,3.183702
490,3.158408,2.958548,3.183702
491,3.158715,2.95568,3.185136
492,3.158616,2.958548,3.18657
493,3.158706,2.958548,3.183702
494,3.158495,2.95568,3.185136
495,3.158337,2.957114,3.183702
496,3.158161,2.957114,3.183702
497,3.158257,2.957114,3.183702
498,3.158291,2.95568,3.183702
499,3.158246,2.958548,3.183702
500,3.158189,2.959982,3.183702
501,3.158001,2.95568,3.182268
502,3.158139,2.954246,3.18657
503,3.158377,2.954246,3.183702
504,3.158273,2.958548,3.18657
505,3.158837,2.957114,3.185136
506,3.159002,2.958548,3.185136
507,3.158884,2.957114,3.18657
508,3.158854,2.959982,3.185136
509,3.158728,2.957114,3.183702
510,3.158721,2.957114,3.188004
511,3.158875,2.95568,3.185136
512,3.158327,2.958548,3.185136
513,3.158498,2.958548,3.183702
514,3.158618,2.958548,3.183702
515,3.158595,2.958548,3.18657
516,3.158637,2.957114,3.183702
517,3.158336,2.957114,3.183702
518,3.158622,2.957114,3.183702
519,3.158283,2.958548,3.185136
520,3.158239,2.957114,3.185136
521,3.158144,2.957114,3.183702
522,3.157931,2.95568,3.18657
523,3.158259,2.957114,3.182268
524,3.158412,2.958548,3.185136
525,3.158352,2.95568,3.188004
526,3.158126,2.958548,3.18657
527,3.158142,2.957114,3.18657
528,3.158231,2.959982,3.183702
529,3.158078,2.958548,3.183702
530,3.158278,2.959982,3.185136
531,3.15809,2.958548,3.185136
532,3.158362,2.958548,3.183702
533,3.158181,2.959982,3.183702
534,3.158243,2.95568,3.183702
535,3.158351,2.959982,3.183702
536,3.158258,2.958548,3.183702
537,3.158016,2.95568,3.183702
538,3.157998,2.95568,3.183702
539,3.158026,2.958548,3.182268
540,3.15806,2.958548,3.185136
541,3.157927,2.957114,3.18657
542,3.157838,2.957114,3.183702
543,3.158003,2.958548,3.183702
544,3.157963,2.95568,3.183702
545,3.157646,2.95568,3.183702
546,3.157198,2.957114,3.183702
547,3.157159,2.954246,3.185136
548,3.157346,2.957114,3.185136
549,3.157591,2.957114,3.182268
550,3.157406,2.95568,3.183702
551,3.157291,2.95568,3.185136
552,3.157227,2.957114,3.185136
553,3.157119,2.95568,3.182268
554,3.156948,2.957114,3.183702
555,3.157361,2.958548,3.183702
556,3.157263,2.95568,3.183702
557,3.156705,2.957114,3.182268
558,3.156826,2.95568,3.182268
559,3.156933,2.95568,3.183702
560,3.156946,2.954246,3.183702
561,3.157017,2.95568,3.182268
562,3.156855,2.954246,3.183702
563,3.156859,2.952812,3.182268
564,3.156482,2.957114,3.183702
565,3.156681,2.954246,3.180834
566,3.156789,2.95568,3.182268
567,3.156632,2.958548,3.183702
568,3.157113,2.957114,3.183702
569,3.157216,2.95568,3.183702
570,3.157114,2.958548,3.185136
571,3.157098,2.95568,3.183702
572,3.156738,2.957114,3.182268
573,3.156498,2.95568,3.182268
574,3.156927,2.95568,3.182268
575,3.157109,2.958548,3.183702
576,3.157275,2.957114,3.182268
577,3.156662,2.957114,3.185136
578,3.156633,2.957114,3.183702
579,3.15684,2.957114,3.180834
580,3.156992,2.954246,3.182268
581,3.156962,2.957114,3.182268
582,3.156806,2.957114,3.183702
583,3.156925,2.958548,3.182268
584,3.156992,2.954246,3.182268
585,3.156878,2.95568,3.182268
586,3.156809,2.95568,3.182268
587,3.156853,2.958548,3.182268
588,3.156744,2.957114,3.182268
589,3.156637,2.95568,3.183702
590,3.156455,2.95568,3.185136
591,3.156346,2.952812,3.182268
592,3.156168,2.957114,3.183702
593,3.15619,2.95568,3.183702
594,3.156356,2.957114,3.182268
595,3.156333,2.95568,3.183702
596,3.15666,2.95568,3.183702
597,3.156218,2.95568,3.180834
598,3.156228,2.954246,3.182268
599,3.156341,2.954246,3.182268
600,3.156368,2.95568,3.180834
